Country,Total
Afghanistan,2
Argentina,3
Armenia,5
Australia,7
Austria,2
Azerbaijan,1
Belgium,14
Benin,4
Brazil,5
Bulgaria,2
Burkina Faso,1
Canada,15
China,44
Colombia,3
Cyprus,1
Czech Republic,10
Denmark,36
Deutschland,4
Egypt,1
Finland,4
France,25
Georgia,14
Germany,32
Greece,8
Hungary,10
Iceland,1
India,20
Indonesia,2
Iran,8
Iraq,1
Ireland,12
Israel,1
Italy,32
Jamaica,4
Japan,15
Kazakhstan,6
Kenya,2
Latvia,4
Malaysia,14
Mali,4
Mexico,1
Morocco,2
Nepal,1
Netherlands,7
New Zealand,8
Nigeria,1
Northern Ireland,1
Norway,17
Oman,1
Pakistan,5
Poland,6
Portugal,3
Qatar,1
Russia,2
Saudi Arabia,4
Scotland,1
Serbia,2
Singapore,6
Slovakia,1
South Africa,1
South Korea,12
Spain,22
Sweden,18
Switzerland,4
Taiwan,2
Thailand,4
Turkey,7
Uganda,4
Ukraine,8
United Kingdom,39
United States of America,67
Vietnam,3
